Project_Name,Property_Type,BHK,Location,Area,Status,Floor,Furnishing,Facing,Transaction,Price_Per_Sqft
,Apartment,2 BHK,Kollur,1400 sqft,Poss. by Aug '26,,Unfurnished,,New Property,"₹6,666 per sqft"
,Apartment,3 BHK,Gajularamaram Hyderabad,1308 sqft,Poss. by Jun '27,,Unfurnished,,New Property,"₹5,650 per sqft"
,Villa,5 BHK,Attapur Hyderabad,6093 sqft,Poss. by Dec '26,,Unfurnished,,New Property,"₹12,500 per sqft"
,Apartment,3 BHK,Gandi Maisamma,1720 sqft,Poss. by Dec '26,,Unfurnished,,New Property,"₹5,399 per sqft"
,Apartment,3 BHK,Tellapur,2555 sqft,Poss. by Aug '30,,Unfurnished,,New Property,"₹7,499 per sqft"
,Apartment,3 BHK,Dulapally Hyderabad,2235 sqft,Poss. by Mar '28,,Unfurnished,,New Property,"₹6,199 per sqft"
,Apartment,3 BHK,Neknampur Hyderabad,2215 sqft,Ready to Move,,Unfurnished,,New Property,"₹8,835 per sqft"
,Villa,4 BHK,Narsingi,4822 sqft,Poss. by Sep '27,,Unfurnished,,New Property,"₹26,006 per sqft"
,Apartment,3 BHK,Nalagandla Hyderabad,1935 sqft,Poss. by Oct '26,,Unfurnished,,New Property,"₹8,499 per sqft"
,Apartment,2 BHK,Kollur,1430 sqft,Poss. by Dec '26,,Unfurnished,,New Property,"₹6,999 per sqft"
,Apartment,3 BHK,Chanda Nagar Hyderabad,1775 sqft,Poss. by Jan '27,,Unfurnished,,New Property,"₹6,999 per sqft"
,Apartment,3 BHK,Kokapet,2560 sqft,Poss. by Mar '30,,Unfurnished,,New Property,"₹10,999 per sqft"
,Apartment,3 BHK,Tellapur,2189 sqft,Ready to Move,,Unfurnished,,New Property,"₹7,300 per sqft"
,Apartment,3 BHK,Kollur,1839 sqft,Poss. by Sep '30,,Unfurnished,,New Property,"₹6,199 per sqft"
,Apartment,3 BHK,Kokapet,1917 sqft,Poss. by Jul '31,,Unfurnished,,New Property,"₹6,000 per sqft"
,Apartment,3 BHK,Narsingi,2100 sqft,Poss. by Nov '29,,Unfurnished,,New Property,"₹9,476 per sqft"
,Apartment,4 BHK,Rajendranagar Mandal Hyderabad,3571 sqft,,,Unfurnished,,New Property,"₹8,372 per sqft"
,Apartment,4 BHK,Kukatpally,3254 sqft,Poss. by Jun '31,,Unfurnished,,New Property,"₹13,800 per sqft"
,Villa,4 BHK,Medchal Hyderabad,4591 sqft,Poss. by Dec '26,,Unfurnished,,New Property,"₹10,891 per sqft"
,Apartment,4 BHK,Madeenaguda Hyderabad,3270 sqft,Poss. by Jun '29,,Unfurnished,,New Property,"₹10,500 per sqft"
,Apartment,3 BHK,Puppalguda Hyderabad,1715 sqft,Poss. by Dec '29,,Unfurnished,,New Property,"₹9,010 per sqft"
,Villa,4 BHK,Mokila Hyderabad,3200 sqft,Poss. by Dec '28,,Unfurnished,,New Property,"₹9,334 per sqft"
,Builder Floor,4 BHK,Neopolis Hyderabad,3220 sqft,Poss. by Jul '30,,Unfurnished,,New Property,"₹10,870 per sqft"
,Villa,4 BHK,Velmala Hyderabad,5200 sqft,Poss. by Jun '27,,Unfurnished,,New Property,"₹11,000 per sqft"
,Apartment,2 BHK,Manikonda Jagir Hyderabad,1380 sqft,Poss. by Jul '27,,Unfurnished,,New Property,"₹9,200 per sqft"
,Villa,3 BHK,Suchitra Hyderabad,3100 sqft,Poss. by Jun '27,,Unfurnished,East,New Property,"₹7,500 per sqft"
,Apartment,5 BHK,Kokapet,5218 sqft,Poss. by Jan '28,,Unfurnished,,New Property,"₹14,260 per sqft"
,Apartment,3 BHK,Nizampet Hyderabad,1930 sqft,Poss. by Nov '26,,Unfurnished,,New Property,"₹7,800 per sqft"
,Apartment,4 BHK,Shilpa Hills Hyderabad,2964 sqft,Poss. by Dec '26,4 out of 27,Furnished,East,New Property,"₹14,000 per sqft"
,Apartment,2 BHK,Nagole Hyderabad,950 sqft,Poss. by Dec '27,1 out of 5,Unfurnished,East,New Property,"₹4,999 per sqft"
,Apartment,4 BHK,Neopolis Hyderabad,2161 sqft,,20 out of 36,Unfurnished,West,New Property,
,Villa,4 BHK,Kismatpur,4585 sqft,Poss. by Dec '28,,Unfurnished,,New Property,"₹15,005 per sqft"
,Apartment,2 BHK,Tellapur,1355 sqft,Poss. by Oct '26,15 out of 39,Unfurnished,West,Resale,"₹11,808 per sqft"
,Apartment,3 BHK,Tellapur,1258 sqft,Poss. by Mar '31,25 out of 52,Unfurnished,East,New Property,"₹7,520 per sqft"
,Apartment,3 BHK,Sai Nagar Komapally Hyderabad,1845 sqft,Poss. by Jun '27,3 out of 10,Unfurnished,East,New Property,"₹7,730 per sqft"
,Apartment,2 BHK,Manchirevula,1295 sqft,Poss. by Oct '28,6 out of 10,Unfurnished,West,New Property,"₹7,000 per sqft"
,Villa,5 BHK,Adarsh Nagar Colony Nagole Hyderabad,3500 sqft,Ready to Move,,Semi-Furnished,East,Resale,"₹11,429 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,1921 sqft,Ready to Move,12 out of 22,Unfurnished,East,New Property,"₹8,896 per sqft"
,Apartment,3 BHK,Budwel Hyderabad,1594 sqft,Poss. by Mar '30,10 out of 34,Unfurnished,East,New Property,"₹8,600 per sqft"
,Apartment,3 BHK,Phase 1 KPHB Hyderabad,2400 sqft,Ready to Move,1 out of 40,Unfurnished,East,New Property,"₹8,221 per sqft"
,Apartment,2 BHK,Narsingi,959 sqft,Ready to Move,20 out of 40,Unfurnished,North - East,Resale,"₹11,825 per sqft"
,Apartment,4 BHK,Tellapur,3013 sqft,Poss. by Mar '31,10 out of 52,Unfurnished,East,New Property,
,Apartment,3 BHK,Ameenpur Hyderabad,779 sqft,Ready to Move,5 out of 12,Unfurnished,East,New Property,"₹8,181 per sqft"
,Villa,4 BHK,Cherlapalli Hyderabad,2674 sqft,Ready to Move,,Unfurnished,,New Property,"₹7,614 per sqft"
,Apartment,3 BHK,Tellapur,1930 sqft,Poss. by Jan '30,,Unfurnished,,New Property,"₹6,249 per sqft"
,Apartment,3 BHK,Yapral Hyderabad,1450 sqft,Ready to Move,,Unfurnished,,New Property,"₹5,000 per sqft"
,Apartment,3 BHK,Kukatpally,2480 sqft,Poss. by Feb '30,,Unfurnished,,New Property,"₹8,923 per sqft"
,Apartment,3 BHK,Dollar Hills Hyderabad,1376 sqft,Poss. by Nov '26,3 out of 5,Unfurnished,East,New Property,"₹6,200 per sqft"
,Apartment,4 BHK,Shaikpet Hyderabad,5216 sqft,Ready to Move,21 out of 35,Unfurnished,West,Resale,"₹15,721 per sqft"
,Villa,4 BHK,Gandipet Hyderabad,6666 sqft,Ready to Move,,Semi-Furnished,North - East,New Property,"₹21,002 per sqft"
,Apartment,3 BHK,Kollur,1287 sqft,Poss. by Dec '28,8 out of 15,Unfurnished,North - East,New Property,"₹9,700 per sqft"
,Apartment,2 BHK,Osman Nagar Hyderabad,1420 sqft,Poss. by Jun '29,11 out of 28,Unfurnished,East,New Property,"₹7,500 per sqft"
,Apartment,4 BHK,Financial District,4750 sqft,Ready to Move,6 out of 45,Semi-Furnished,North,Resale,"₹14,863 per sqft"
,Villa,6 BHK,MLA Colony Banjara Hills Hyderabad,7000 sqft,Ready to Move,,Furnished,South,Resale,"₹23,571 per sqft"
,Villa,5 BHK,Kismatpur,4687 sqft,Ready to Move,,Unfurnished,East,New Property,"₹15,788 per sqft"
,Villa,5 BHK,Kondapur Hyderabad,5850 sqft,Ready to Move,,Semi-Furnished,East,Resale,"₹28,842 per sqft"
,Apartment,3 BHK,Kokapet,2124 sqft,Ready to Move,19 out of 38,Unfurnished,West,New Property,"₹13,606 per sqft"
,Apartment,2 BHK,Puppalguda Hyderabad,914 sqft,Ready to Move,21 out of 34,Semi-Furnished,East,Resale,"₹13,250 per sqft"
,Apartment,2 BHK,Block C Sri Ramnagar Hyderabad,1457 sqft,Ready to Move,3 out of 22,Semi-Furnished,West,Resale,"₹9,609 per sqft"
,Apartment,4 BHK,Kokapet,3734 sqft,Poss. by Feb '30,,Unfurnished,,New Property,"₹12,999 per sqft"
,House,7 BHK,Warasiguda Hyderabad,2570 sqft,Ready to Move,,Unfurnished,West,Resale,"₹9,251 per sqft"
,Apartment,3 BHK,Tarnaka Hyderabad,1550 sqft,Poss. by Oct '26,3 out of 5,Unfurnished,West,New Property,"₹5,155 per sqft"
,Apartment,3 BHK,Gangaram Chanda Nagar Hyderabad,1320 sqft,Poss. by Dec '26,6 out of 12,Unfurnished,East,New Property,"₹7,350 per sqft"
,Apartment,3 BHK,Narsingi,2660 sqft,,,Unfurnished,,New Property,"₹11,021 per sqft"
,Villa,3 BHK,Ankushapur Hyderabad,1680 sqft,Poss. by Aug '27,,Unfurnished,,New Property,"₹6,875 per sqft"
,Apartment,4 BHK,Kokapet,4115 sqft,Poss. by Jan '28,,Unfurnished,,New Property,"₹11,744 per sqft"
,Villa,5 BHK,Mokila Hyderabad,8304 sqft,Poss. by Jul '30,,Unfurnished,,New Property,"₹17,000 per sqft"
,Apartment,3 BHK,Tellapur,2180 sqft,Poss. by Jan '28,,Unfurnished,,New Property,"₹9,233 per sqft"
,Apartment,3 BHK,Sanath Nagar,2260 sqft,Poss. by Dec '26,,Unfurnished,,New Property,
,Apartment,4 BHK,Manchirevula,5725 sqft,Poss. by Nov '28,,Unfurnished,,New Property,"₹9,199 per sqft"
,Apartment,4 BHK,Attapur Hyderabad,5345 sqft,,,Unfurnished,,New Property,"₹8,750 per sqft"
,Apartment,3 BHK,Gundlapochampally,1600 sqft,Poss. by Dec '27,,Unfurnished,,New Property,"₹4,500 per sqft"
,Apartment,3 BHK,Kapra Hyderabad,1770 sqft,,,Unfurnished,,New Property,"₹5,400 per sqft"
,Apartment,3 BHK,Chanda Nagar Hyderabad,2600 sqft,Poss. by Aug '28,,Unfurnished,,New Property,"₹6,999 per sqft"
,Apartment,4 BHK,Neopolis Hyderabad,4565 sqft,Poss. by Jul '30,,Unfurnished,,New Property,"₹9,331 per sqft"
,Apartment,2 BHK,Jeedimetla Hyderabad,1480 sqft,,,Unfurnished,,New Property,"₹5,900 per sqft"
,Apartment,4 BHK,Gaganpahad Hyderabad,3370 sqft,Poss. by Jul '30,,Unfurnished,,New Property,"₹8,199 per sqft"
,Apartment,3 BHK,Miyapur,1985 sqft,Poss. by Sep '28,,Unfurnished,,New Property,"₹7,899 per sqft"
,Villa,3 BHK,Kandi Hyderabad,,,,Unfurnished,,New Property,"₹5,358 per sqft"
,Apartment,3 BHK,Rajendranagar Mandal Hyderabad,2673 sqft,Poss. by Jul '30,,Unfurnished,,New Property,"₹8,372 per sqft"
,Villa,5 BHK,Mokila Hyderabad,5928 sqft,,,Unfurnished,,New Property,"₹12,499 per sqft"
,Apartment,3 BHK,Balanagar Hyderabad,2296 sqft,Poss. by Feb '29,,Unfurnished,,New Property,"₹11,353 per sqft"
,Apartment,3 BHK,Manikonda Jagir Hyderabad,1780 sqft,,,Unfurnished,,New Property,"₹7,799 per sqft"
,Apartment,4 BHK,Rai Durg Hyderabad,6069 sqft,Poss. by May '28,,Unfurnished,,New Property,"₹15,000 per sqft"
