Project_Name,Property_Type,BHK,Location,Area,Status,Floor,Furnishing,Facing,Transaction,Price_Per_Sqft
,Apartment,3 BHK,Lingampally Serilingampalle Hyderabad,1300 sqft,Ready to Move,1 out of 6,Semi-Furnished,East,Resale,"₹7,333 per sqft"
,Apartment,3 BHK,Miyapur,1280 sqft,Ready to Move,5 out of 5,Unfurnished,East,Resale,"₹9,154 per sqft"
,Apartment,3 BHK,Ammuguda Hyderabad,1357 sqft,Ready to Move,3 out of 5,Unfurnished,West,Resale,"₹8,236 per sqft"
,Apartment,3 BHK,Sri Ram Nagar Kondapur Hyderabad,1700 sqft,Ready to Move,3 out of 5,Semi-Furnished,,Resale,"₹10,294 per sqft"
,Apartment,2 BHK,Patancheruvu Hyderabad,1065 sqft,Ready to Move,9 out of 14,Unfurnished,West,New Property,"₹7,042 per sqft"
,Apartment,3 BHK,Allwyn Colony Hyderabad,980 sqft,Ready to Move,3 out of 5,Unfurnished,East,Resale,"₹5,538 per sqft"
,Apartment,3 BHK,Madhura Nagar Hyderabad,1600 sqft,Ready to Move,1 out of 5,Semi-Furnished,East,Resale,"₹7,647 per sqft"
,House,7 BHK,Kompally Hyderabad,5400 sqft,Ready to Move,,Semi-Furnished,East,Resale,"₹3,333 per sqft"
,Apartment,2 BHK,Madhapur Hyderabad,1051 sqft,Ready to Move,1 out of 5,Unfurnished,North - East,Resale,"₹7,464 per sqft"
,Apartment,3 BHK,Kompally Hyderabad,1600 sqft,Ready to Move,2 out of 5,Unfurnished,East,Resale,"₹4,927 per sqft"
,Apartment,4 BHK,Hitech City Hyderabad,3480 sqft,Ready to Move,4 out of 10,Furnished,North,Resale,"₹12,931 per sqft"
,Apartment,4 BHK,Nalagandla Hyderabad,1792 sqft,Ready to Move,8 out of 24,Furnished,West,Resale,"₹13,872 per sqft"
,Apartment,3 BHK,Kismatpur,1255 sqft,Ready to Move,4 out of 5,Unfurnished,West,Resale,"₹6,746 per sqft"
,Apartment,3 BHK,Nizampet Hyderabad,1405 sqft,Ready to Move,6 out of 6,Semi-Furnished,West,Resale,"₹5,409 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,1459 sqft,Ready to Move,Ground out of 12,Furnished,West,Resale,"₹12,680 per sqft"
,Apartment,2 BHK,Hitech City Hyderabad,1000 sqft,Ready to Move,13 out of 14,Semi-Furnished,North,Resale,"₹9,282 per sqft"
,Villa,4 BHK,Mamidpally Hyderabad,3400 sqft,Ready to Move,,Semi-Furnished,East,Resale,"₹10,432 per sqft"
,Builder Floor,3 BHK,Kamalapuri Colony Hyderabad,1750 sqft,Ready to Move,2 out of 3,Semi-Furnished,North - East,Resale,"₹9,167 per sqft"
,Apartment,3 BHK,Bandlaguda Jagir Hyderabad,1400 sqft,Ready to Move,15 out of 15,Unfurnished,North,New Property,"₹7,880 per sqft"
,Apartment,3 BHK,Nizampet Hyderabad,1790 sqft,Ready to Move,4 out of 5,Furnished,West,Resale,"₹7,250 per sqft"
,Apartment,4 BHK,Banjara Hills,3250 sqft,Ready to Move,1 out of 2,Semi-Furnished,East,Resale,"₹10,738 per sqft"
,Apartment,2 BHK,Narepally Hyderabad,970 sqft,Ready to Move,2 out of 5,Unfurnished,West,Resale,"₹5,350 per sqft"
,Apartment,2 BHK,Yapral Hyderabad,1190 sqft,Ready to Move,2 out of 5,Unfurnished,East,New Property,"₹5,897 per sqft"
,Apartment,3 BHK,Tellapur,1500 sqft,Ready to Move,2 out of 7,Semi-Furnished,East,Resale,"₹5,714 per sqft"
,Builder Floor,2 BHK,Ameerpet,950 sqft,Ready to Move,3 out of 6,Semi-Furnished,South,Resale,"₹6,186 per sqft"
,Apartment,3 BHK,Mokila Hyderabad,1200 sqft,Ready to Move,9 out of 17,Unfurnished,East,Resale,"₹5,886 per sqft"
,Apartment,3 BHK,Nalagandla Hyderabad,1659 sqft,Ready to Move,1 out of 14,Semi-Furnished,West,Resale,
,Apartment,2 BHK,Shamshabad Hyderabad,900 sqft,Ready to Move,2 out of 14,Unfurnished,West,New Property,"₹8,327 per sqft"
,Apartment,2 BHK,Kukatpally,1010 sqft,Ready to Move,7 out of 7,Semi-Furnished,South,Resale,"₹9,263 per sqft"
,Apartment,3 BHK,AS Raju Nagar Vivekananda Nagar Hyderabad,1400 sqft,Ready to Move,3 out of 5,Furnished,West,Resale,"₹7,500 per sqft"
,Apartment,3 BHK,Mallampet,1600 sqft,Ready to Move,5 out of 5,Unfurnished,East,Resale,"₹5,169 per sqft"
,Apartment,3 BHK,Bachupally Hyderabad,850 sqft,Ready to Move,22 out of 33,Unfurnished,East,Resale,"₹8,500 per sqft"
,Apartment,3 BHK,Kompally Hyderabad,1600 sqft,Ready to Move,7 out of 8,Semi-Furnished,North - East,Resale,"₹6,695 per sqft"
,Apartment,2 BHK,Kompally Hyderabad,591 sqft,Ready to Move,5 out of 5,Semi-Furnished,East,Resale,"₹7,363 per sqft"
,Apartment,3 BHK,Yapral Hyderabad,1919 sqft,Ready to Move,1 out of 5,Furnished,,Resale,
,Apartment,3 BHK,Ameerpet,2000 sqft,Ready to Move,2 out of 5,Semi-Furnished,East,Resale,"₹12,242 per sqft"
,Apartment,2 BHK,Moti Nagar Erragadda Hyderabad,905 sqft,Ready to Move,5 out of 5,Unfurnished,East,Resale,"₹8,247 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,2000 sqft,Ready to Move,5 out of 5,Semi-Furnished,South,Resale,"₹7,933 per sqft"
,Apartment,3 BHK,Nizampet Hyderabad,1780 sqft,Ready to Move,5 out of 5,Furnished,North - East,Resale,"₹8,989 per sqft"
,Apartment,3 BHK,HUDA Layout Nalagandla Hyderabad,1910 sqft,Ready to Move,8 out of 26,Unfurnished,,New Property,"₹11,000 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,1855 sqft,Ready to Move,23 out of 25,Semi-Furnished,North,Resale,"₹12,938 per sqft"
,Apartment,2 BHK,Tellapur,950 sqft,Ready to Move,5 out of 9,Semi-Furnished,East,Resale,"₹6,667 per sqft"
,Apartment,3 BHK,Tellapur,2045 sqft,Ready to Move,8 out of 40,Unfurnished,East,Resale,"₹9,584 per sqft"
,House,4 BHK,Tellapur,3666 sqft,Ready to Move,,Furnished,East,Resale,"₹20,458 per sqft"
,Villa,3 BHK,Beeramguda Ramachandrapuram Hyderabad,1600 sqft,Ready to Move,,Unfurnished,West,Resale,"₹10,167 per sqft"
,Apartment,3 BHK,Kavuri Hills,2625 sqft,Ready to Move,4 out of 14,Semi-Furnished,West,Resale,"₹14,857 per sqft"
,Villa,4 BHK,Patancheruvu Hyderabad,2500 sqft,Ready to Move,,Unfurnished,East,Resale,"₹6,800 per sqft"
,Apartment,3 BHK,Kollur,2310 sqft,Poss. by Dec '26,20 out of 23,Unfurnished,East,New Property,"₹5,628 per sqft"
,Apartment,3 BHK,Kollur,2000 sqft,Poss. by Dec '27,11 out of 35,Unfurnished,East,Resale,"₹3,600 per sqft"
,House,6 BHK,Jubilee Hills Check Post Road Hyderabad,6000 sqft,Ready to Move,,Semi-Furnished,North - East,Resale,"₹25,714 per sqft"
,Villa,4 BHK,Dulapally Cross Road Hyderabad,4554 sqft,Ready to Move,,Unfurnished,East,Resale,"₹9,442 per sqft"
,Apartment,2 BHK,Nalagandla Hyderabad,798 sqft,Ready to Move,5 out of 26,Furnished,East,Resale,"₹12,097 per sqft"
,Villa,3 BHK,Peddakanjerla Hyderabad,2500 sqft,Ready to Move,,Unfurnished,East,Resale,"₹6,760 per sqft"
,House,3 BHK,Patancheruvu Hyderabad,1200 sqft,Ready to Move,,Unfurnished,West,Resale,"₹7,793 per sqft"
,Apartment,2 BHK,Sainikpuri Hyderabad,653 sqft,Ready to Move,2 out of 10,Semi-Furnished,East,Resale,"₹5,820 per sqft"
,Apartment,2 BHK,Nalagandla Hyderabad,823 sqft,Ready to Move,8 out of 12,Unfurnished,East,Resale,"₹9,721 per sqft"
,Apartment,2 BHK,Medchal Hyderabad,840 sqft,Ready to Move,3 out of 5,Semi-Furnished,East,Resale,"₹3,400 per sqft"
,Villa,4 BHK,Tukkuguda,4250 sqft,Poss. by Dec '27,,Unfurnished,East,New Property,"₹8,824 per sqft"
,Apartment,2 BHK,Rajendranagar Mandal Hyderabad,990 sqft,Ready to Move,7 out of 9,Semi-Furnished,East,Resale,"₹6,768 per sqft"
,Apartment,2 BHK,Narsingi,1285 sqft,Ready to Move,3 out of 5,Semi-Furnished,West,Resale,"₹9,339 per sqft"
,Apartment,3 BHK,Kukatpally,1620 sqft,Ready to Move,Ground out of 5,Unfurnished,,Resale,"₹9,259 per sqft"
,Villa,4 BHK,Gopanapalli Thanda Hyderabad,4000 sqft,Ready to Move,,Semi-Furnished,East,New Property,"₹21,875 per sqft"
,Apartment,3 BHK,Puppalguda Hyderabad,1140 sqft,Ready to Move,2 out of 2,Unfurnished,East,Resale,"₹11,974 per sqft"
,Apartment,2 BHK,Jawahar Colony Chanda Nagar Hyderabad,920 sqft,Ready to Move,1 out of 5,Unfurnished,West,New Property,"₹7,278 per sqft"
,Apartment,4 BHK,Financial District,2045 sqft,Ready to Move,23 out of 44,Unfurnished,East,Resale,"₹12,500 per sqft"
,Apartment,3 BHK,Neopolis Hyderabad,1988 sqft,Ready to Move,27 out of 39,Semi-Furnished,East,Resale,"₹12,324 per sqft"
,Apartment,3 BHK,Laxmi Cyber City,1398 sqft,Ready to Move,19 out of 19,Furnished,East,Resale,"₹15,282 per sqft"
,Apartment,4 BHK,Narsingi,2630 sqft,Ready to Move,1 out of 18,Semi-Furnished,East,Resale,"₹9,125 per sqft"
,Apartment,4 BHK,Jubilee Hills Hyderabad,5372 sqft,Ready to Move,7 out of 8,Semi-Furnished,North,Resale,"₹20,402 per sqft"
,Apartment,4 BHK,Hitech City Hyderabad,4070 sqft,Ready to Move,6 out of 35,Unfurnished,East,Resale,"₹20,147 per sqft"
,Villa,4 BHK,Kismatpur,5391 sqft,Ready to Move,,Furnished,East,Resale,"₹24,114 per sqft"
,Apartment,3 BHK,Financial District,1980 sqft,Poss. by May '27,27 out of 39,Unfurnished,East,New Property,"₹10,051 per sqft"
,Villa,4 BHK,Tellapur,3410 sqft,Ready to Move,,Unfurnished,East,New Property,"₹18,035 per sqft"
,Apartment,3 BHK,Kokapet,1660 sqft,Ready to Move,1 out of 12,Unfurnished,East,New Property,"₹9,157 per sqft"
,Apartment,2 BHK,adibtla TCS Hyderabad,900 sqft,Ready to Move,3 out of 8,Unfurnished,East,New Property,"₹3,500 per sqft"
,Apartment,2 BHK,Narsingi,1314 sqft,Ready to Move,23 out of 30,Semi-Furnished,West,Resale,"₹11,796 per sqft"
,Villa,4 BHK,Osman Nagar Hyderabad,3700 sqft,Ready to Move,,Unfurnished,West,Resale,"₹16,730 per sqft"
,Apartment,3 BHK,Hitech City Hyderabad,3430 sqft,Ready to Move,24 out of 35,Unfurnished,West,Resale,"₹21,866 per sqft"
,Apartment,3 BHK,Puppalguda Hyderabad,2500 sqft,Ready to Move,4 out of 11,Unfurnished,East,Resale,"₹9,520 per sqft"
,Apartment,3 BHK,Narsingi,1325 sqft,Ready to Move,23 out of 31,Semi-Furnished,East,Resale,"₹12,268 per sqft"
,Apartment,3 BHK,Miyapur,1610 sqft,Ready to Move,3 out of 5,Furnished,East,Resale,"₹9,006 per sqft"
,Apartment,3 BHK,AS Rao Nagar Hyderabad,1700 sqft,Ready to Move,1 out of 5,Semi-Furnished,West,Resale,"₹5,303 per sqft"
,Villa,3 BHK,Kollur,3191 sqft,Ready to Move,,Unfurnished,East,New Property,"₹13,162 per sqft"
,Apartment,2 BHK,Gajularamaram Hyderabad,1008 sqft,Ready to Move,9 out of 10,Furnished,West,Resale,"₹7,698 per sqft"
,Apartment,3 BHK,Kollur,1200 sqft,Ready to Move,6 out of 15,Unfurnished,East,Resale,"₹7,594 per sqft"
,Apartment,4 BHK,Financial District,40000 sqft,Ready to Move,2 out of 26,Semi-Furnished,East,Resale,"₹14,500 per sqft"
,Apartment,3 BHK,Kokapet,3450 sqft,Ready to Move,18 out of 44,Unfurnished,East,Resale,"₹13,623 per sqft"
,Apartment,3 BHK,Osman Nagar Hyderabad,3039 sqft,Ready to Move,11 out of 14,Furnished,East,Resale,
,Apartment,2 BHK,Pocharam,860 sqft,Ready to Move,3 out of 5,Unfurnished,East,New Property,"₹4,009 per sqft"
,Villa,4 BHK,Tellapur,3470 sqft,Ready to Move,,Unfurnished,West,Resale,"₹17,291 per sqft"
,Apartment,4 BHK,Block C Sri Ramnagar Hyderabad,4860 sqft,Ready to Move,12 out of 27,Unfurnished,West,Resale,"₹12,502 per sqft"
,Apartment,3 BHK,Mehdipatnam Hyderabad,1869 sqft,Ready to Move,9 out of 9,Unfurnished,West,New Property,"₹9,928 per sqft"
,Apartment,4 BHK,Banjara Hills,3765 sqft,Ready to Move,4 out of 5,Furnished,East,New Property,"₹21,248 per sqft"
,Villa,4 BHK,Narsingi,7000 sqft,Ready to Move,,Semi-Furnished,East,Resale,"₹29,487 per sqft"
,Apartment,3 BHK,Nalagandla Hyderabad,1740 sqft,Ready to Move,18 out of 26,Unfurnished,East,Resale,"₹12,644 per sqft"
,Apartment,3 BHK,Yapral Hyderabad,1725 sqft,Ready to Move,4 out of 9,Unfurnished,West,New Property,"₹5,999 per sqft"
,Apartment,3 BHK,Bandlaguda Nagole Hyderabad,1650 sqft,Ready to Move,3 out of 5,Furnished,West,Resale,"₹7,317 per sqft"
,Apartment,4 BHK,Kokapet,3300 sqft,Ready to Move,8 out of 15,Unfurnished,East,New Property,"₹11,400 per sqft"
,Apartment,3 BHK,Gachibowli Hyderabad,1258 sqft,Ready to Move,5 out of 33,Furnished,East,Resale,"₹14,638 per sqft"
,Apartment,2 BHK,Kukatpally,1100 sqft,Ready to Move,17 out of 30,Unfurnished,East,New Property,"₹5,500 per sqft"
,Apartment,2 BHK,Narsingi,882 sqft,Ready to Move,31 out of 39,Furnished,West,Resale,"₹12,774 per sqft"
,Apartment,3 BHK,Financial District,1595 sqft,Poss. by Jan '27,20 out of 44,Unfurnished,East,New Property,"₹11,400 per sqft"
,Apartment,4 BHK,Gachibowli Hyderabad,4860 sqft,Ready to Move,8 out of 9,Furnished,East,Resale,"₹14,198 per sqft"
,Apartment,3 BHK,Umdanagar,1648 sqft,Poss. by Oct '28,34 out of 42,Unfurnished,West,New Property,"₹9,236 per sqft"
,Villa,4 BHK,Gopanpally Hyderabad,3200 sqft,Ready to Move,,Semi-Furnished,East,Resale,"₹29,244 per sqft"
,Apartment,3 BHK,Banjara Hills,1965 sqft,Ready to Move,Ground out of 3,Semi-Furnished,East,Resale,"₹10,891 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,2785 sqft,Ready to Move,17 out of 20,Semi-Furnished,West,New Property,"₹14,327 per sqft"
,Villa,4 BHK,Hitech City Hyderabad,3415 sqft,Ready to Move,,Semi-Furnished,West,Resale,"₹24,890 per sqft"
,House,4 BHK,Mahendra Hills,6500 sqft,Ready to Move,,Furnished,North,Resale,"₹12,308 per sqft"
,Apartment,2 BHK,Narsingi,954 sqft,Ready to Move,3 out of 14,Unfurnished,West,New Property,"₹9,962 per sqft"
,Apartment,3 BHK,Tellapur,1013 sqft,Poss. by Mar '31,5 out of 52,Unfurnished,East,New Property,"₹8,500 per sqft"
,Villa,4 BHK,Sri Ram Nagar Colony Chanda Nagar Hyderabad,5400 sqft,Ready to Move,,Furnished,East,Resale,"₹7,500 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,1950 sqft,Ready to Move,24 out of 39,Unfurnished,East,New Property,"₹11,282 per sqft"
,Apartment,4 BHK,Kondapur Hyderabad,3070 sqft,Ready to Move,1 out of 20,Unfurnished,West,Resale,"₹14,202 per sqft"
,Apartment,4 BHK,Hitech City Hyderabad,2300 sqft,Ready to Move,1 out of 15,Semi-Furnished,West,Resale,"₹14,706 per sqft"
,Villa,3 BHK,Kistareddypet Hyderabad,1830 sqft,Ready to Move,,Semi-Furnished,West,Resale,"₹8,743 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,2415 sqft,Ready to Move,4 out of 15,Furnished,West,Resale,"₹12,422 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,1479 sqft,Ready to Move,16 out of 20,Unfurnished,West,New Property,"₹13,500 per sqft"
,Apartment,3 BHK,Puppalguda Hyderabad,1228 sqft,Ready to Move,2 out of 32,Unfurnished,East,Resale,"₹12,705 per sqft"
,Apartment,3 BHK,Narsingi,1515 sqft,Ready to Move,27 out of 39,Unfurnished,West,New Property,"₹12,871 per sqft"
,Apartment,3 BHK,Manikonda Jagir Hyderabad,1344 sqft,Ready to Move,3 out of 11,Semi-Furnished,East,Resale,"₹11,280 per sqft"
,Apartment,4 BHK,Kokapet,3379 sqft,Poss. by Dec '29,40 out of 63,Unfurnished,East,New Property,"₹8,699 per sqft"
,Apartment,4 BHK,Financial District,4170 sqft,Poss. by Dec '29,33 out of 60,Unfurnished,East,New Property,"₹9,000 per sqft"
,Apartment,3 BHK,Tellapur,1840 sqft,Ready to Move,12 out of 29,Semi-Furnished,East,Resale,"₹9,783 per sqft"
,Apartment,3 BHK,Gachibowli Hyderabad,2400 sqft,Ready to Move,10 out of 19,Semi-Furnished,East,Resale,"₹11,618 per sqft"
,Apartment,4 BHK,Manikonda Jagir Hyderabad,3620 sqft,Ready to Move,26 out of 32,Furnished,West,Resale,"₹11,117 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,2300 sqft,Ready to Move,3 out of 5,Semi-Furnished,North,Resale,"₹6,957 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,2625 sqft,Ready to Move,15 out of 20,Unfurnished,North,Resale,"₹14,971 per sqft"
,Apartment,3 BHK,Narsingi,1554 sqft,Poss. by Dec '26,1 out of 13,Unfurnished,West,New Property,"₹8,500 per sqft"
,Apartment,2 BHK,Peerzadiguda,869 sqft,Ready to Move,1 out of 4,Unfurnished,West,New Property,"₹4,507 per sqft"
,Apartment,3 BHK,Pocharam,1856 sqft,Ready to Move,5 out of 14,Unfurnished,West,New Property,"₹6,000 per sqft"
,Builder Floor,2 BHK,Kompally Hyderabad,1250 sqft,Ready to Move,Ground out of 5,Furnished,West,New Property,"₹6,560 per sqft"
,Apartment,4 BHK,Kompally Hyderabad,2700 sqft,Ready to Move,3 out of 10,Unfurnished,West,Resale,"₹6,786 per sqft"
,Apartment,4 BHK,Hitech City Hyderabad,4070 sqft,Ready to Move,8 out of 35,Semi-Furnished,West,Resale,"₹20,639 per sqft"
,Villa,4 BHK,Patancheruvu Hyderabad,3000 sqft,Poss. by Dec '27,,Unfurnished,East,New Property,"₹5,784 per sqft"
,Apartment,3 BHK,Kollur,1144 sqft,Poss. by Dec '27,,Unfurnished,East,New Property,"₹7,300 per sqft"
,Apartment,3 BHK,Kukatpally Housing Board Colony,1854 sqft,Ready to Move,32 out of 35,Unfurnished,East,New Property,"₹10,500 per sqft"
,Apartment,3 BHK,Masjid Banda Hyderabad,1287 sqft,Ready to Move,,Unfurnished,East,New Property,"₹9,753 per sqft"
,Apartment,3 BHK,Narsingi,1435 sqft,Ready to Move,22 out of 39,Unfurnished,West,Resale,"₹11,306 per sqft"
,Apartment,3 BHK,Gachibowli Hyderabad,1742 sqft,Ready to Move,8 out of 34,Semi-Furnished,West,Resale,"₹13,548 per sqft"
,Apartment,3 BHK,Chanda Nagar Hyderabad,1590 sqft,Ready to Move,5 out of 12,Semi-Furnished,East,Resale,"₹9,119 per sqft"
,Villa,3 BHK,Nalagandla Hyderabad,2000 sqft,Poss. by Dec '26,,Unfurnished,East,New Property,"₹5,682 per sqft"
,Apartment,2 BHK,Kondapur Hyderabad,1000 sqft,Ready to Move,5 out of 5,Semi-Furnished,East,New Property,"₹6,917 per sqft"
,Apartment,2 BHK,Miyapur,1305 sqft,Poss. by Oct '27,3 out of 14,Unfurnished,East,New Property,"₹7,624 per sqft"
,Villa,4 BHK,Gachibowli Hyderabad,5000 sqft,Ready to Move,,Furnished,North - East,Resale,"₹19,167 per sqft"
,Apartment,3 BHK,Nalagandla Hyderabad,1275 sqft,Ready to Move,9 out of 26,Unfurnished,East,Resale,"₹11,780 per sqft"
,Apartment,3 BHK,Puppalguda Hyderabad,1520 sqft,Ready to Move,24 out of 33,Unfurnished,East,Resale,"₹12,184 per sqft"
,Apartment,2 BHK,Narsingi,1285 sqft,Ready to Move,4 out of 9,Semi-Furnished,East,Resale,"₹9,883 per sqft"
,Villa,4 BHK,Kapra Hyderabad,3000 sqft,Ready to Move,,Semi-Furnished,West,New Property,"₹6,250 per sqft"
,Apartment,3 BHK,Phase 7 KPHB Hyderabad,1650 sqft,Ready to Move,4 out of 5,Semi-Furnished,North - East,Resale,"₹8,788 per sqft"
,Apartment,4 BHK,Kokapet,2800 sqft,Ready to Move,24 out of 44,Unfurnished,East,Resale,"₹14,492 per sqft"
,Apartment,4 BHK,Kokapet,5800 sqft,Ready to Move,10 out of 28,Unfurnished,East,Resale,"₹12,790 per sqft"
,Apartment,2 BHK,Sri Ram Nagar Kondapur Hyderabad,850 sqft,Ready to Move,1 out of 4,Semi-Furnished,West,Resale,"₹7,217 per sqft"
,Apartment,2 BHK,Bachupally Hyderabad,1110 sqft,Poss. by Dec '26,15 out of 33,Unfurnished,East,New Property,"₹8,300 per sqft"
,Apartment,3 BHK,Kokapet,2180 sqft,Ready to Move,3 out of 39,Furnished,,Resale,"₹11,927 per sqft"
,Villa,4 BHK,Tellapur,4200 sqft,Ready to Move,,Furnished,West,Resale,"₹24,762 per sqft"
,Apartment,3 BHK,Kokapet,2234 sqft,Ready to Move,20 out of 32,Semi-Furnished,East,Resale,"₹12,975 per sqft"
,Apartment,3 BHK,Tellapur,1335 sqft,Ready to Move,25 out of 39,Unfurnished,East,Resale,"₹11,052 per sqft"
,Apartment,3 BHK,Osman Sagar Road Hyderabad,2625 sqft,Ready to Move,3 out of 9,Semi-Furnished,East,Resale,"₹11,810 per sqft"
,Apartment,3 BHK,Uppal,1945 sqft,Ready to Move,10 out of 15,Furnished,East,New Property,"₹8,745 per sqft"
,Apartment,3 BHK,Appa Junction Area Hyderabad,1400 sqft,Ready to Move,16 out of 19,Semi-Furnished,West,Resale,"₹10,000 per sqft"
,Apartment,3 BHK,Gachibowli Hyderabad,1915 sqft,Ready to Move,11 out of 19,Semi-Furnished,East,Resale,"₹11,000 per sqft"
,Apartment,4 BHK,Hitech City Hyderabad,4070 sqft,Ready to Move,15 out of 35,Semi-Furnished,East,Resale,"₹22,113 per sqft"
,Apartment,3 BHK,Chanda Nagar Hyderabad,1825 sqft,Ready to Move,1 out of 14,Semi-Furnished,East,Resale,"₹9,863 per sqft"
,Apartment,3 BHK,Puppalguda Hyderabad,1982 sqft,Ready to Move,17 out of 44,Unfurnished,West,Resale,"₹13,118 per sqft"
,Apartment,3 BHK,Kakatiya Hills Kavuri Hills Hyderabad,1650 sqft,Ready to Move,3 out of 5,Furnished,North,New Property,"₹9,000 per sqft"
,Apartment,4 BHK,Puppalguda Hyderabad,4999 sqft,Poss. by Dec '26,35 out of 43,Semi-Furnished,East,Resale,"₹11,982 per sqft"
,Apartment,2 BHK,Kollur,1330 sqft,Ready to Move,5 out of 15,Unfurnished,,Resale,"₹7,293 per sqft"
,Apartment,3 BHK,Tellapur,1200 sqft,Poss. by Dec '29,10 out of 17,Unfurnished,North - East,New Property,"₹6,471 per sqft"
,Apartment,3 BHK,Osman Nagar Hyderabad,1792 sqft,Ready to Move,1 out of 10,Unfurnished,East,Resale,"₹9,766 per sqft"
,Apartment,4 BHK,Madhapur Hyderabad,2700 sqft,Ready to Move,6 out of 14,Furnished,East,Resale,"₹14,451 per sqft"
,Apartment,3 BHK,Gandi Maisamma,1750 sqft,Ready to Move,14 out of 14,Unfurnished,West,Resale,"₹6,857 per sqft"
,Apartment,3 BHK,Rajendranagar Mandal Hyderabad,1750 sqft,Poss. by Dec '27,13 out of 45,Unfurnished,,Resale,"₹10,143 per sqft"
,Villa,5 BHK,Jubilee Hills Hyderabad,5500 sqft,Ready to Move,,Semi-Furnished,North,New Property,"₹27,809 per sqft"
,Apartment,3 BHK,Tellapur,1720 sqft,Poss. by Sep '27,14 out of 40,Unfurnished,,Resale,"₹9,884 per sqft"
,Villa,4 BHK,Nalagandla Hyderabad,2724 sqft,Poss. by Dec '28,,Unfurnished,East,New Property,"₹5,900 per sqft"
,Apartment,2 BHK,Dammaiguda Hyderabad,1176 sqft,Ready to Move,3 out of 5,Unfurnished,North,New Property,"₹4,252 per sqft"
,Apartment,3 BHK,Moosapet,1640 sqft,Poss. by Mar '28,9 out of 30,Unfurnished,North - East,New Property,"₹5,699 per sqft"
,Apartment,3 BHK,Amberpet Hyderabad,1200 sqft,Ready to Move,1 out of 5,Furnished,East,Resale,"₹5,846 per sqft"
,Apartment,3 BHK,Kollur,1125 sqft,Ready to Move,5 out of 10,Semi-Furnished,East,New Property,"₹5,599 per sqft"
,Apartment,3 BHK,Puppalguda Hyderabad,1400 sqft,Ready to Move,4 out of 5,Unfurnished,West,New Property,"₹7,014 per sqft"
,Apartment,3 BHK,Moosapet,1480 sqft,Poss. by Jan '27,17 out of 27,Unfurnished,East,New Property,"₹10,473 per sqft"
,Villa,5 BHK,Kompally Hyderabad,4600 sqft,Ready to Move,,Unfurnished,East,Resale,"₹11,957 per sqft"
,Apartment,2 BHK,Narsingi,1314 sqft,Ready to Move,12 out of 30,Semi-Furnished,West,Resale,"₹12,177 per sqft"
,Apartment,3 BHK,Kokapet,2257 sqft,Poss. by Sep '26,27 out of 35,Unfurnished,East,Resale,"₹13,292 per sqft"
,Apartment,3 BHK,Miyapur,1008 sqft,,10 out of 15,Unfurnished,East,New Property,"₹5,500 per sqft"
,Apartment,3 BHK,Puppalguda Hyderabad,1228 sqft,Ready to Move,22 out of 39,Unfurnished,West,Resale,"₹11,100 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,1880 sqft,Ready to Move,14 out of 20,Unfurnished,West,New Property,"₹16,489 per sqft"
,Villa,4 BHK,Kondapur Hyderabad,4500 sqft,Ready to Move,,Furnished,East,Resale,"₹27,885 per sqft"
,Villa,3 BHK,Tellapur,3600 sqft,Ready to Move,,Unfurnished,West,New Property,"₹12,639 per sqft"
,Apartment,2 BHK,Miyapur,861 sqft,Ready to Move,6 out of 14,Unfurnished,North,Resale,"₹6,736 per sqft"
,House,4 BHK,Narsingi,8000 sqft,Ready to Move,,Unfurnished,East,New Property,"₹11,700 per sqft"
,Apartment,3 BHK,Kondapur Hyderabad,1500 sqft,Ready to Move,6 out of 17,Unfurnished,East,New Property,"₹9,195 per sqft"
,Apartment,2 BHK,Kondapur Hyderabad,1290 sqft,Ready to Move,22 out of 24,Unfurnished,East,Resale,"₹12,016 per sqft"
,Apartment,3 BHK,Hitech City Hyderabad,2795 sqft,Ready to Move,15 out of 19,Furnished,East,Resale,"₹11,270 per sqft"
,Villa,4 BHK,Muchintal Hyderabad,9000 sqft,Poss. by Sep '26,,Semi-Furnished,East,New Property,"₹10,800 per sqft"
,Apartment,2 BHK,Narsingi,1370 sqft,Ready to Move,24 out of 39,Semi-Furnished,East,Resale,"₹11,971 per sqft"
,Villa,2 BHK,Shankarpally Road Hyderabad,1000 sqft,Poss. by Sep '26,,Unfurnished,East,New Property,"₹11,818 per sqft"
,Apartment,3 BHK,Kokapet,2124 sqft,Ready to Move,28 out of 35,Unfurnished,West,New Property,"₹13,418 per sqft"
,Apartment,2 BHK,Ashok Nagar Himayatnagar Hyderabad,1100 sqft,Ready to Move,2 out of 5,Semi-Furnished,South - East,Resale,"₹6,364 per sqft"
,Villa,3 BHK,Mokila Hyderabad,2550 sqft,Ready to Move,,Unfurnished,East,Resale,"₹12,745 per sqft"
